
i	species	reactions	exch_r	blocked_r	metabolites	mu_western	mu_highfib	excr_western	excr_highfib
19 	Clostridium_beijerinckii_NCIMB_8052.mat                                                             	1481	 497	 156	1235	0.706	0.562	  11	  10	
20 	Cedecea_davisae_DSM_4568.mat                                                                        	1716	 505	 171	1378	0.663	0.572	  18	  17	
21 	Collinsella_tanakaei_YIT_12063.mat                                                                  	1242	 385	 149	1093	0.331	0.277	  16	  16	
22 	Afipia_birgiae_34632.mat                                                                            	1482	 465	 145	1257	0.237	0.193	  13	  12	
23 	Achromobacter_xylosoxidans_NBRC_15126.mat                                                           	1674	 483	 165	1369	0.278	0.241	  12	  11	
24 	Streptococcus_sanguinis_SK36.mat                                                                    	1312	 387	 140	1114	0.397	0.352	  18	  18	
25 	Providencia_rettgeri_DSM_1131.mat                                                                   	1592	 542	 178	1264	0.342	0.342	  14	  11	
26 	Atopobium_minutum_10063974.mat                                                                      	1007	 332	 134	 931	0.317	0.292	  17	  17	
27 	Megamonas_funiformis_YIT_11815.mat                                                                  	1254	 399	 151	1080	0.854	0.733	  13	  13	
28 	Citrobacter_koseri_ATCC_BAA_895.mat                                                                 	1765	 326	 184	1321	0.844	0.724	  13	  14	
29 	Dorea_longicatena_DSM_13814.mat                                                                     	1023	 457	 110	 949	0.316	0.287	   7	   7	
30 	Fusobacterium_varium_ATCC_27725.mat                                                                 	1243	 538	 150	1103	0.303	0.237	  10	  10	
31 	Vibrio_fluvialis_I21563.mat                                                                         	1626	 427	 164	1306	0.770	0.692	  15	  14	
32 	Staphylococcus_capitis_QN1.mat                                                                      	1398	 475	 146	1171	0.292	0.248	  13	  13	
33 	Ruminococcus_bromii_L2_63.mat                                                                       	 803	 301	  89	 762	0.133	0.087	  11	  10	
34 	Rhodococcus_equi_ATCC_33707.mat                                                                     	1576	 510	 166	1300	0.470	0.409	  13	  13	
35 	Enterobacteriaceae_bacterium_9_2_54FAA.mat                                                          	1646	 532	 166	1273	0.573	0.477	  13	  14	
36 	Varibaculum_cambriense_DSM_15806.mat                                                                	1013	 296	 116	 940	0.361	0.229	  13	  12	
37 	Dietzia_cinnamea_P4.mat                                                                             	1300	 427	 132	1156	0.187	0.151	  15	  14	
38 	Mycoplasma_hominis_ATCC_23114.mat                                                                   	 496	 109	  84	 475	0.005	0.005	   7	   7	
39 	Faecalibacterium_prausnitzii_SL3_3.mat                                                              	1261	 389	 142	1086	0.319	0.230	  15	  15	
40 	Delftia_acidovorans_SPH_1.mat                                                                       	1692	 546	 179	1386	0.448	0.366	  13	  13	
41 	Morganella_morganii_subsp_morganii_KT.mat                                                           	1577	 472	 161	1286	0.610	0.545	  17	  17	
42 	Dialister_succinatiphilus_YIT_11850.mat                                                             	1120	 395	 140	1021	0.186	0.152	  14	  13	
43 	Edwardsiella_tarda_FL6_60.mat                                                                       	1533	 346	 161	1184	0.326	0.326	  12	  12	
44 	Cronobacter_sakazakii_ATCC_BAA_894.mat                                                              	1685	 445	 169	1335	0.700	0.623	  18	  16	
45 	Neisseria_macacae_ATCC_33926.mat                                                                    	1198	 379	 137	1054	0.168	0.141	  16	  16	
46 	Blautia_hydrogenotrophica_DSM_10507.mat                                                             	1068	 445	 112	 977	0.205	0.154	   8	   8	
47 	Butyrivibrio_crossotus_DSM_2876.mat                                                                 	 888	 422	  96	 857	0.201	0.059	   8	   8	
48 	Prevotella_timonensis_CRIS_5C_B1.mat                                                                	 955	 330	  90	 892	0.108	0.108	  11	  11	
49 	Weissella_paramesenteroides_ATCC_33313.mat                                                          	 949	 402	 131	 872	0.056	0.027	   9	   8	
50 	Moraxella_catarrhalis_RH4.mat                                                                       	1175	 409	 109	1059	0.069	0.069	  12	  12	
51 	Pseudoflavonifractor_capillosus_strain_ATCC_29799.mat                                               	1080	 465	 118	1003	0.179	0.115	  11	  10	
52 	Microbacterium_oleivorans_NBRC_103075.mat                                                           	1375	 406	 147	1213	0.306	0.244	  18	  18	
53 	Pseudobutyrivibrio_ruminis_AD2017.mat                                                               	1176	 404	 122	1053	0.129	0.072	  11	  11	
54 	Acinetobacter_baumannii_AB0057.mat                                                                  	1593	 489	 169	1340	0.278	0.242	  12	  12	
55 	Proteus_mirabilis_ATCC_29906.mat                                                                    	1566	 423	 165	1261	0.572	0.505	  20	  21	
56 	Schlesneria_paludicola_DSM_18645.mat                                                                	1440	 455	 141	1239	0.263	0.206	  12	  14	
57 	Eggerthella_lenta_DSM_2243.mat                                                                      	1046	 292	 119	 961	0.196	0.196	   8	   8	
58 	Escherichia_coli_str_K_12_substr_MG1655.mat                                                         	1801	 487	 205	1348	0.830	0.708	  14	  14	
59 	Serratia_liquefaciens_ATCC_27592.mat                                                                	1816	 484	 187	1430	0.458	0.229	  16	  15	
60 	Trabulsiella_guamensis_ATCC_49490.mat                                                               	1724	 465	 183	1350	0.458	0.229	  16	  15	
61 	Porphyromonas_uenonis_DSM_23387.mat                                                                 	 937	 330	  94	 904	0.171	0.171	  16	  16	
62 	Coprococcus_catus_GD_7.mat                                                                          	1223	 415	 130	1086	0.224	0.192	  12	  11	
63 	Lactococcus_garvieae_ATCC_49156.mat                                                                 	1188	 340	 144	1027	0.348	0.300	  16	  16	
64 	Enterococcus_dispar_ATCC_51266.mat                                                                  	1270	 394	 148	1089	0.308	0.257	  17	  17	
65 	Anaerococcus_hydrogenalis_DSM_7454.mat                                                              	 873	 359	 118	 810	0.194	0.136	  14	  14	
66 	Veillonella_sp_3_1_44.mat                                                                           	 988	 447	 116	 917	0.140	0.128	  12	  12	
67 	Subdoligranulum_variabile_DSM_15176.mat                                                             	1063	 449	 119	 965	0.251	0.184	   9	   8	
68 	Tannerella_forsythia_ATCC_43037.mat                                                                 	1060	 351	  99	 963	0.349	0.229	  17	  19	
69 	Yersinia_kristensenii_ATCC_33638.mat                                                                	1710	 491	 176	1356	0.458	0.229	  15	  14	
70 	Methyloversatilis_universalis_FAM5.mat                                                              	1306	 451	 123	1170	0.190	0.132	  10	   7	
71 	Parabacteroides_gordonii_DSM_23371.mat                                                              	1308	 421	 120	1146	0.233	0.193	  12	  10	
72 	Raoultella_planticola_ATCC_33531.mat                                                                	1918	 526	 204	1479	0.458	0.229	  11	  12	
73 	Arcanobacterium_haemolyticum_DSM_20595.mat                                                          	1056	 377	 139	 977	0.318	0.229	  14	  14	
74 	Oribacterium_sinus_F0268.mat                                                                        	1164	 360	 136	1022	0.288	0.259	  15	  14	
75 	Exiguobacterium_aurantiacum_DSM_6208.mat                                                            	1361	 431	 143	1173	0.348	0.230	  15	  15	
76 	Megasphaera_elsdenii_DSM_20460.mat                                                                  	1206	 301	 131	1068	0.220	0.153	  12	  12	
77 	Cryptobacterium_curtum_DSM_15641.mat                                                                	 917	 324	  94	 871	0.026	0.026	   7	   7	
78 	Klebsiella_pneumoniae_pneumoniae_MGH78578.mat                                                       	1817	 532	 200	1379	0.703	0.595	  11	  11	
79 	Brochothrix_thermosphacta_DSM_20171.mat                                                             	1361	 421	 160	1151	0.444	0.383	  19	  21	
80 	Curtobacterium_flaccumfaciens_UCD_AKU.mat                                                           	1319	 392	 135	1155	0.230	0.194	  14	  15	
81 	Methylobacterium_populi_BJ001.mat                                                                   	1601	 532	 171	1343	0.588	0.553	  15	  16	
82 	Helicobacter_pullorum_MIT_98_5489.mat                                                               	 947	 385	  85	 870	0.051	0.051	   7	   7	
83 	Coprobacillus_sp_D7.mat                                                                             	1015	 454	 102	 943	0.195	0.132	   8	   8	
84 	Abiotrophia_defectiva_ATCC_49176.mat                                                                	1073	 306	 114	 955	0.178	0.141	  10	  10	
85 	Yokenella_regensburgei_ATCC_43003.mat                                                               	1843	 509	 223	1443	0.458	0.229	  17	  15	
86 	Kocuria_rhizophila_DC2201.mat                                                                       	1250	 353	 130	1092	0.207	0.167	  11	  11	
87 	Laribacter_hongkongensis_HLHK9.mat                                                                  	1266	 313	 117	1089	0.097	0.092	  12	  11	
88 	Brevibacterium_massiliense_5401308.mat                                                              	1235	 385	 116	1097	0.074	0.058	   8	   9	
89 	Parvimonas_micra_ATCC_33270.mat                                                                     	 726	 362	  87	 722	0.055	0.055	   8	   8	
90 	Leuconostoc_gelidum_JB7.mat                                                                         	1182	 362	 145	1047	0.215	0.158	   9	   9	
91 	Catenibacterium_mitsuokai_DSM_15897.mat                                                             	 991	 422	 108	 930	0.243	0.162	   8	   8	
92 	Odoribacter_splanchnicus_1651_6_DSM_20712.mat                                                       	1136	 354	  88	1034	0.157	0.096	  12	  11	
93 	Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850.mat                                                	1030	 400	 108	 931	0.215	0.208	  12	  12	
94 	Erysipelotrichaceae_bacterium_5_2_54FAA.mat                                                         	 956	 400	 102	 895	0.177	0.140	   9	   9	
95 	Paraprevotella_xylaniphila_YIT_11841.mat                                                            	1101	 326	 105	 990	0.416	0.229	  15	  13	
96 	Ochrobactrum_intermedium_LMG_3301.mat                                                               	1563	 504	 154	1307	0.585	0.477	  14	  12	
97 	Aeromonas_veronii_B565.mat                                                                          	1559	 460	 145	1268	0.458	0.229	  16	  16	
98 	Blastococcus_massiliensis_AP3.mat                                                                   	1324	 418	 127	1174	0.181	0.144	  12	  12	
99 	Hafnia_alvei_BIDMC_31.mat                                                                           	1884	 465	 202	1475	0.609	0.518	  17	  17	
